id,pregunta,opciones,correcta,tema
T4-001,Los personajes principales de la novela el Quijote son don Quijote y…,Don Juan||Sancho Panza||Doña Inés,2,
T4-002,¿Qué científica española es reconocida por sus investigaciones?,Almudena Grandes||Montserrat Caballé||Margarita Salas,3,
T4-003,¿Quién escribió La casa de Bernarda Alba?,Federico García Lorca||Miguel de Cervantes||Antonio Machado,1,
T4-004,"¿Quién escribió Nada, una novela sobre la posguerra española?",Carmen Laforet||Ana María Matute||María Dueñas,1,
T4-005,¿Qué músico compuso El amor brujo?,Manuel de Falla||Isaac Albéniz||Joaquín Rodrigo,1,
T4-006,¿Qué es típico en la Noche de San Juan?,Comer uvas||Encender hogueras||Regalar libros,2,
T4-007,¿Cuál es el instrumento más característico de la música f lamenca?,La gaita||La guitarra||El piano,2,
T4-008,Isabel Coixet es una…,cantante pop||bailarina clásica||directora de cine,3,
T4-009,Una de las cantantes españolas más famosas actualmente es...,Rosalía||Marisol||Lola Flores,1,
T4-010,¿En qué ciudad de España hay una mezquita que es Patrimonio de la Humanidad?,Santiago de Compostela||Madrid||Córdoba,3,
T4-011,"¿En qué ciudad de España se encuentra La Alhambra, que es Patrimonio de la Humanidad?",En Sevilla||En Córdoba||En Granada,3,
T4-012,¿Cuál es el nombre de la directora española que ha destacado por su mirada crítica y por modernizar el cine nacional?,Pilar Miró||Sara Baras||Penélope Cruz,1,
T4-013,¿Qué novela de éxito ha escrito Irene Vallejo?,El infinito en un junco||El tiempo entre costuras||El camino,1,
T4-014,¿Cómo se llama la mayor institución pública dedicada a la investigación en España?,Real Academia Española (RAE)||Consejo Superior de investigaciones Científicas (CSIC)||La sociedad General de Autores (SGAE),2,
T4-015,Paco de Lucía fue un famoso….,científico||guitarrista||pintor,2,
T4-016,¿Qué celebramos el 24 de diciembre?,Carnaval||Nochebuena||San Juan,2,
T4-017,Juan Mari Arzak es un famoso....,escritor||músico||cocinero,3,
T4-018,¿Quién fue Clara Campoamor?,Una defensora de los derechos de la mujer||Una cantante lírica||Una directora de cine,1,
T4-019,¿Qué canciones típicas se cantan en Navidad?,Flamenco||Villancicos||Jotas,2,
T4-020,La Liga y la Copa del Rey son competiciones de…,natación||atletismo||fútbol,3,
T4-021,¿Quién ha recibido el premio Nobel de Literatura?,María Zambrano||Pablo Picasso||Vicente Aleixandre,3,
T4-022,¿Qué fiesta se celebra en Pamplona el 7 de julio?,Los sanfermines||Las Fallas||La Feria de Abril,1,
T4-023,Teresa Perales y Daniel Molina son...,campeones paraolímpicos||músicos famosos||artistas de cine,1,
T4-024,¿Qué toman los españoles la noche del 31 de diciembre para celebrar el cambio de año?,Lentejas||Uvas||Aceitunas,2,
T4-025,¿Qué mujer es autora del cuadro La verbena?,Maruja Mallo||Carmen Maura||Clara Lago,1,
T4-026,¿En qué museo español puedes ver el cuadro Guernica de Picasso?,Museo del Prado||Museo Reina Sofía||Museo Thyssen-Bornemisza,2,
T4-027,¿Qué escritora española escribe en otra lengua oficial de España?,Mercè Rodoreda||Almudena Grandes||Ana María Matute,1,
T4-028,¿Qué tres culturas convivieron en la España medieval?,"La cristiana, la judía y la musulmana||La fenicia, la judía y la musulmana||La griega, la cristiana y la judía",1,
T4-029,El 6 de diciembre se celebra en España…,el Día de la Constitución||la llegada de Colón a América||el Día del Libro,1,
T4-030,"¿Qué ciudad fue un centro científico en Al-Ándalus, donde se estudiaba medicina y astronomía?",Barcelona||Madrid||Córdoba,3,
T4-031,¿En qué ciudad española está el Museo Guggenheim?,Bilbao||Madrid||Valencia,1,
T4-032,El Premio Cervantes se da a…,actores||escritores||pintores,2,
T4-033,¿Qué premio reconoce a los mejores actores y películas?,Premio Goya||Premio Nobel||Premio Cervantes,1,
T4-034,"¿Qué premios promueven en España valores científicos, culturales y humanísticos?",Los Premios Cervantes||Los Premios Princesa de Asturias||Los Premios Goya,2,
T4-035,¿Cuál de estos deportes es muy popular en España?,El fútbol||El esquí||El golf. 4,1,
T4-036,¿Cuál de estos deportistas juega al tenis?,Pau Gasol||Carlos Sainz||Carlos Alcaraz,3,
